ccode,year,name,spend_group,hc,exp
NGA,2023,Gombe,"[12,40)",148992,1021561635
NGA,2023,Gombe,"[40,80)",13744,260092430
NGA,2023,Gombe,"[80,120)",2208,76355810
NGA,2023,Gombe,"[120,Inf)",1624,140682315
NGA,2023,Gwagwalada,"[0,12)",489109,409204420
NGA,2023,Gwagwalada,"[12,40)",13543,83244820
NGA,2023,Gwagwalada,"[40,80)",753,14536490
NGA,2023,Gwagwalada,"[80,120)",110,3888345
NGA,2023,Gwagwalada,"[120,Inf)",110,9556795
NGA,2023,Ibadan,"[0,12)",3791996,3198351920
NGA,2023,Ibadan,"[12,40)",107508,660553275
NGA,2023,Ibadan,"[40,80)",5808,109986545
NGA,2023,Ibadan,"[80,120)",1089,37072320
NGA,2023,Ibadan,"[120,Inf)",859,75333080
NGA,2023,Ife,"[0,12)",402753,314444580
NGA,2023,Ife,"[12,40)",9137,56175325
NGA,2023,Ife,"[40,80)",501,9587455
NGA,2023,Ife,"[80,120)",97,3417495
NGA,2023,Ife,"[120,Inf)",64,6092215
NGA,2023,Igbidu,"[0,12)",495538,206571020
NGA,2023,Igbidu,"[12,40)",2264,13953950
NGA,2023,Igbidu,"[40,80)",149,2811595
NGA,2023,Igbidu,"[80,120)",6,179215
NGA,2023,Igbidu,"[120,Inf)",38,2506820
NGA,2023,Ijebu-Ode,"[0,12)",359199,387052570
NGA,2023,Ijebu-Ode,"[12,40)",22308,137659750
NGA,2023,Ijebu-Ode,"[40,80)",1223,23114720
NGA,2023,Ijebu-Ode,"[80,120)",225,7868305
NGA,2023,Ijebu-Ode,"[120,Inf)",154,14124405
NGA,2023,Ikorodu,"[0,12)",760728,1256957800
NGA,2023,Ikorodu,"[12,40)",295787,2044263530
NGA,2023,Ikorodu,"[40,80)",28671,542974000
NGA,2023,Ikorodu,"[80,120)",4572,158118365
NGA,2023,Ikorodu,"[120,Inf)",3381,292091615
NGA,2023,Ikot Ekpene,"[0,12)",424618,315028215
NGA,2023,Ikot Ekpene,"[12,40)",8330,51199280
NGA,2023,Ikot Ekpene,"[40,80)",472,9053825
NGA,2023,Ikot Ekpene,"[80,120)",75,2644790
NGA,2023,Ikot Ekpene,"[120,Inf)",68,6001695
NGA,2023,Ilesha,"[0,12)",385597,363150545
NGA,2023,Ilesha,"[12,40)",15332,94311985
NGA,2023,Ilesha,"[40,80)",829,15830050
NGA,2023,Ilesha,"[80,120)",155,5537050
NGA,2023,Ilesha,"[120,Inf)",103,9695495
NGA,2023,Ilorin,"[0,12)",971126,1065090440
NGA,2023,Ilorin,"[12,40)",64192,396617760
NGA,2023,Ilorin,"[40,80)",3501,66106245
NGA,2023,Ilorin,"[80,120)",648,22444215
NGA,2023,Ilorin,"[120,Inf)",455,41112140
NGA,2023,Jos,"[0,12)",761622,1161523440
NGA,2023,Jos,"[12,40)",198470,1313271825
NGA,2023,Jos,"[40,80)",14852,280972985
NGA,2023,Jos,"[80,120)",2402,82827990
NGA,2023,Jos,"[120,Inf)",1823,158188810
