Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,pop_2020
1.097823573,0.045513301,Kongasis,UG203301,,,,Bukwo,UG2033,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,132594.7813
1.695714872,0.129324617,Kooki,UG102401,,,,Rakai,UG1024,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,341193.5
1.117406149,0.022565575,Kotido Municipality,UG308002,,,,Kotido,UG3080,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,67195.20313
2.14815654,0.079768462,Kumi,UG204901,,,,Kumi,UG2049,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,288458.4688
0.52690849,0.007562928,Kumi Municipality,UG204902,,,,Kumi,UG2049,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,48157.30078
1.917734962,0.11444744,Kwania,UG308101,,,,Kwania,UG3081,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,243691.0938
1.87700731,0.06416624,Kween,UG205001,,,,Kween,UG2050,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,120116.0859
0.539255817,0.008073287,Kyadondo,UG102604,,,,Wakiso,UG1026,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,232827.8906
2.082649525,0.14187398,Kyaka,UG412301,,,,Kyegegwa,UG4123,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,479272.2813
3.901817432,0.632144165,Kyamuswa,UG100602,,,,Kalangala,UG1006,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,33760.39063
2.52046668,0.198948184,Kyotera,UG101301,,,,Kyotera,UG1013,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,292956.7188
2.712933404,0.223823529,Labwor,UG306401,,,,Abim,UG3064,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,170809.2188
3.393283059,0.443142594,Lamwo,UG308201,,,,Lamwo,UG3082,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,156702.4688
0.248221554,0.002841092,Lira Municipality,UG308302,,,,Lira,UG3083,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,127414.7578
1.131514717,0.025584977,Lugazi Municipality,UG100103,,,,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,90877.08594
1.474225349,0.052785298,Luuka,UG205101,,,,Luuka,UG2051,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,297243
1.536389965,0.064362343,Lwemiyaga,UG102501,,,,Ssembabule,UG1025,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,78778.51563
2.384501604,0.164224636,Madi Okollo,UG308401,,,,Madi Okollo,UG3084,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,176697.5
0.414586728,0.006904092,Makindye Ssabagabo Municipality,UG102605,,,,Wakiso,UG1026,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,458130.7813
0.901825092,0.025791133,Manjiya,UG202901,,,,Bududa,UG2029,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,297618.5
1.065480794,0.035729868,Maracha,UG308501,,,,Maracha,UG3085,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,225914.8594
3.047631487,0.128950659,Maruzi,UG307102,,,,Apac,UG3071,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,191330.0781
0.276431226,0.00375374,Masaka Municipality,UG101702,,,,Masaka,UG1017,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,128109.5469
1.123035838,0.029272817,Masindi Municipality,UG412503,,,,Masindi,UG4125,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,123488.4219
3.137253817,0.287692835,Matheniko,UG308601,,,,Moroto,UG3086,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,112379.8359
1.973512407,0.125777091,Mawogola,UG102502,,,,Ssembabule,UG1025,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,246126.125
2.209552984,0.123905508,Mawokota,UG101901,,,,Mpigi,UG1019,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,315053.875
0.220270025,0.001957965,Mbale Municipality,UG205402,,,,Mbale,UG2054,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,126444.0313
0.298336924,0.003753376,Mbarara Municipality,UG412602,,,,Mbarara,UG4126,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,139921.0156
1.456779131,0.067286805,Mityana,UG101803,,,,Mityana,UG1018,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,175997.0469
0.861033153,0.014591345,Mityana Municipality,UG101804,,,,Mityana,UG1018,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,87490.875
2.87571126,0.126491804,Moroto,UG306701,,,,Alebtong,UG3067,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,289096.6563
0.08637472,0.000396041,Moroto Municipality,UG308602,,,,Moroto,UG3086,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,18716.70117
1.525597164,0.084742844,Moyo,UG308701,,,,Moyo,UG3087,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,86407.82813
0.781846235,0.02289763,Mubende Municipality,UG102003,,,,Mubende,UG1020,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,124483.0391
2.263664824,0.146425363,Mukono,UG102102,,,,Mukono,UG1021,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,310396.2813
0.544124427,0.00933932,Mukono Municipality,UG102103,,,,Mukono,UG1021,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,118322.6172
2.411433721,0.190597892,Mwenge,UG412401,,,,Kyenjojo,UG4124,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,577008
2.856821522,0.282561576,Nakaseke,UG102201,,,,Nakaseke,UG1022,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,257067.1719
1.326721865,0.067423522,Nakifuma,UG102104,,,,Mukono,UG1021,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,253523.75
1.110543854,0.024184017,Nansana Municipality,UG102606,,,,Wakiso,UG1026,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,596610.75
1.315149614,0.047814194,Ndorwa,UG410902,,,,Kabale,UG4109,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,212337.75
0.366379463,0.004395669,Nebbi Municipality,UG309101,,,,Nebbi,UG3091,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,46286.28516
1.256158045,0.058621006,Ngora,UG205801,,,,Ngora,UG2058,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,182401.6719
1.16050996,0.031503007,Njeru Municipality,UG100104,,,,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,210817.2344
1.175009102,0.042862318,Ntenjeru,UG101002,,,,Kayunga,UG1010,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,269925.1563
2.16461331,0.113947446,Ntoroko,UG412801,,,,Ntoroko,UG4128,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,82947.27344
0.318946759,0.004132385,Ntungamo Municipality,UG412902,,,,Ntungamo,UG4129,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,22182.32617
3.846901875,0.385188576,Nwoya,UG309201,,,,Nwoya,UG3092,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,251487.5938
2.740306107,0.247255476,Nyabushozi,UG411901,,,,Kiruhura,UG4119,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,210676.2969
1.318403177,0.068933492,Obongi,UG309301,,,,Obongi,UG3093,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,39514.47656
1.56626263,0.072410415,Okoro,UG310001,,,,Zombo,UG3100,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,309698.7188
2.288417268,0.126538192,Omoro,UG309401,,,,Omoro,UG3094,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,217263.375
2.842078242,0.134165304,Otuke,UG309501,,,,Otuke,UG3095,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,148394.8125
2.23390354,0.183162331,Oyam,UG309601,,,,Oyam,UG3096,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,503920.4688
