OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020
"164",Amhara,East Gojam,Dejen,"03","0306","030613",ET03,Dejen,ET030613,ET0306,,147217.546875
"165",Amhara,North Wollo,Delanta,"03","0303","030306",ET03,Delanta,ET030306,ET0303,Delanta,183145.75
"166",Amhara,West Gojam,Dembecha,"03","0307","030708",ET03,Dembecha,ET030708,ET0307,,186211.234375
"167",Amhara,North Gonder,Dembia,"03","0301","030111",ET03,Dembia,ET030111,ET0301,,388443.25
"168",Amhara,South Gonder,Dera,"03","0302","030209",ET03,Dera,ET030209,ET0302,,354786.59375
"169",Amhara,South Wollo,Dessie Zuria,"03","0304","030409",ET03,Dessie Zuria,ET030409,ET0304,Dessie Zuria,447959.625
"170",Amhara,South Gonder,East Esite,"03","0302","030208",ET03,East Esite,ET030208,ET0302,,173615.5
"171",Amhara,North Gonder,East Belesa,"03","0301","030117",ET03,East Belesa,ET030117,ET0301,E/Belessa,204732.578125
"172",Amhara,South Gonder,Ebenat,"03","0302","030201",ET03,Ebenat,ET030201,ET0302,Ebinat,314918.59375
"173",Amhara,North Shewa(R3),Eferatana Gidem,"03","0305","030508",ET03,Eferatana Gidem,ET030508,ET0305,Ephrata,160383.484375
"174",Amhara,East Gojam,Enarj Enawga,"03","0306","030605",ET03,Enarj Enawga,ET030605,ET0306,,240226.03125
"175",Amhara,East Gojam,Enbise Sar Midir,"03","0306","030604",ET03,Enbise Sar Midir,ET030604,ET0306,Enbse Sar Midir,191021.21875
"176",Amhara,East Gojam,Enemay,"03","0306","030606",ET03,Enemay,ET030606,ET0306,,237104.28125
"177",Amhara,Awi/Agew,Fagta Lakoma,"03","0309","030905",ET03,Fagta Lakoma,ET030905,ET0309,,181640.03125
"178",Amhara,South Gonder,Farta,"03","0302","030204",ET03,Farta,ET030204,ET0302,,412507.0625
"179",Amhara,South Gonder,Fogera,"03","0302","030203",ET03,Fogera,ET030203,ET0302,,328002.8125
"180",Amhara,Wag Himra,Gaz Gibla,"03","0308","030804",ET03,Gaz Gibla,ET030804,ET0308,Gazgibla,101587.8671875
"181",Amhara,North Shewa(R3),Menz Gera Midir,"03","0305","030505",ET03,Menz Gera Midir,ET030505,ET0305,,172739.3125
"182",Amhara,North Wollo,Gidan,"03","0303","030303",ET03,Gidan,ET030303,ET0303,Gidan,227662.875
"183",Amhara,North Shewa(R3),Gishe Rabel,"03","0305","030506",ET03,Gishe Rabel,ET030506,ET0305,Gishe Rabel,88494.3671875
"184",Amhara,East Gojam,Goncha Siso Enese,"03","0306","030603",ET03,Goncha Siso Enese,ET030603,ET0306,,214275.890625
"185",Amhara,North Gonder,Gonder Zuria,"03","0301","030110",ET03,Gonder Zuria,ET030110,ET0301,,571971.0625
"186",Amhara,East Gojam,Gonje,"03","0306","030618",ET03,Gonje,ET030618,ET0306,,151111.109375
"187",Amhara,Awi/Agew,Guagusa Shikudad,"03","0309","030907",ET03,Guagusa Shikudad,ET030907,ET0309,,120321.4140625
"188",Amhara,Awi/Agew,Guangua,"03","0309","030904",ET03,Guangua,ET030904,ET0309,,321252
"189",Amhara,North Wollo,Guba Lafto,"03","0303","030307",ET03,Guba Lafto,ET030307,ET0303,,268343.21875
"190",Amhara,East Gojam,Guzamn,"03","0306","030610",ET03,Guzamn,ET030610,ET0306,,280486.40625
"191",Amhara,North Wollo,Habru,"03","0303","030308",ET03,Habru,ET030308,ET0303,Habru,274826.09375
"192",Amhara,North Shewa(R3),Hagere Mariam,"03","0305","030516",ET03,Hagere Mariam,ET030516,ET0305,,79835.4765625
"193",Amhara,East Gojam,Hulet Ej Enese,"03","0306","030602",ET03,Hulet Ej Enese,ET030602,ET0306,Hule eji Enbse,395409.0625
"194",Amhara,West Gojam,Jabi Tehnan,"03","0307","030709",ET03,Jabi Tehnan,ET030709,ET0307,,294340.40625
"195",Amhara,South Wollo,Jama,"03","0304","030414",ET03,Jama,ET030414,ET0304,,182585
"196",Amhara,North Gonder,Janamora,"03","0301","030103",ET03,Janamora,ET030103,ET0301,Janamora,240225.265625
"197",Amhara,Awi/Agew,Jawi,"03","0309","030906",ET03,Jawi,ET030906,ET0309,,113859.015625
"198",Amhara,Oromia,Jille Timuga,"03","0310","031003",ET03,Jille Timuga,ET031003,ET0310,Jile Timuga,102652.5703125
"199",Amhara,South Wollo,Kalu,"03","0304","030407",ET03,Kalu,ET030407,ET0304,Kalu,384548.40625
"200",Amhara,South Wollo,Kelela,"03","0304","030413",ET03,Kelela,ET030413,ET0304,Kelela,196464.1875
"201",Amhara,North Shewa(R3),Kewet,"03","0305","030512",ET03,Kewet,ET030512,ET0305,,169595.890625
"202",Amhara,North Shewa(R3),Menz Keya Gabriel,"03","0305","030521",ET03,Menz Keya Gabriel,ET030521,ET0305,,66541.625
"203",Amhara,South Wollo,Kutaber,"03","0304","030403",ET03,Kutaber,ET030403,ET0304,Kutaber,138182.546875
"204",Amhara,North Wollo,Lasta,"03","0303","030310",ET03,Lasta,ET030310,ET0303,,169378.1875
"205",Amhara,North Gonder,Lay Armacho,"03","0301","030108",ET03,Lay Armacho,ET030108,ET0301,,225877.515625
"206",Amhara,South Gonder,Lay Gayint,"03","0302","030205",ET03,Lay Gayint,ET030205,ET0302,,295696.40625
